title
"20,000 Patties Under the Sea"
A Cabin in the Kelp
A Day Without Tears
A Flea in Her Dome
A Friendly Game
A Life in a Day
A Pal for Gary
A Place for Pets
A Skin Wrinkle in Time
A SquarePants Family Vacation
Abandon Twits
Accidents Will Happen
Ain't That the Tooth
All That Glitters
Allergy Attack!
Appointment TV
Arbor Day Disarray
Are You Happy Now?
Arrgh!
Artist Unknown
As Seen on TV
Atlantis SquarePantis
Back to the Past
Band Geeks
Banned in Bikini Bottom
Barnacle Face
BassWard
Best Day Ever
Best Frenemies
Biddy Sitting
Big League Bob
Big Pink Loser
Big Sister Sam
Big Top Flop
BlackJack
Blackened Sponge
Blood is Thicker Than Grease
Boat Smarts
Boating Buddies
Boating School
Born Again Krabs
Born to Be Wild
Boss for a Day
Bossy Boots
Bottle Burglars
Breakin'
Breath of Fresh Squidward
Broken Alarm
Bubble Bass's Tab
Bubble Buddy
Bubble Buddy Returns
Bubble Troubles
Bubblestand
Bubbletown
Bucket Sweet Bucket
Buff for Puff
Bulletin Board
Bummer Vacation
Bumper to Bumper
Bunny Hunt
Buried in Time
Burst Your Bubble
C.H.U.M.S
Call the Cops
Can You Spare a Dime?
Captain Pipsqueak
Cave Dwelling Sponge
Cephalopod Lodge
Chatterbox Gary
ChefBob
Chimps Ahoy
Chocolate with Nuts
Choir Boys
Christmas Who?
Chum Bucket Supreme
Chum Caverns
Chum Fricassee
Clams
Club SpongeBob
Code Yellow
Company Picnic
CopyBob DittoPants
Cuddle E. Hugs
Culture Shock
Dear Vikings
Delivery to Monster Island
Demolition Doofus
Dirty Bubble Returns
Ditchin'
Doing Time
Don't Feed the Clowns
Don't Look Now
Don't Make Me Laugh
Don't Wake Patrick
Doodle Dimension
Dopey Dick
Dream Hoppers
Drive Happy
Drive Thru
Driven to Tears
Dumped
Dunces and Dragons
Dying for Pie
Earworm
"Eek, an Urchin!"
Employee of the Month
Enchanted Tiki Dreams
Enemy In-Law
Escape from Beneath Glove World
Evil Spatula
Extreme Spots
F.U.N.
FUN-Believable
Face Freeze!
FarmerBob
Fear of a Krabby Patty
Feral Friends
Fiasco!
Food Con Castaways
Food PBFFT! Truck
Fools in April
For Here or to Go
Frankendoodle
Free Samples
Friend or Foe
Friendiversary
Frozen Face-Off
Fun-Sized Friends
Fungus Among Us
Funny Pants
Gary & Spot
Gary Takes a Bath
Gary in Love
Gary's Got Legs
Gary's New Toy
Gary's Playhouse
Ghost Host
Ghoul Fools
Giant Squidward
Girls' Night Out
Glove World R.I.P.
Gone
Goo Goo Gas
Good Neighbors
Good Ol' Whatshisname
"Goodbye, Krabby Patty?"
Goofy Scoopers
Goons on the Moon
Gramma's Secret Recipe
Grandma's Kisses
Grandmum's the Word
Grandpappy the Pirate
Graveyard Shift
Greasy Buffoons
Grooming Gary
Growth Spout
Gullible Pants
Hall Monitor
Handemonium
Have You Seen This Snail?
Hello Bikini Bottom!
Help Wanted
Hiccup Plague
Hide and Then What Happens?
High Sea Diving
Hocus Pocus
Home Sweet Pineapple
Home Sweet Rubble
Hooky
Hot Crossed Nuts
House Fancy
House Sittin' for Sandy
House Worming
Hysterical History
I Had an Accident
I Was a Teenage Gary
I ♥ Dancing
I'm Your Biggest Fanatic
I'm with Stupid
Idiot Box
Imitation Krabs
In the Mood to Feud
InSPONGEiac
Ink Lemonade
Insecurity Guards
It Came from Goo Lagoon
It's a SpongeBob Christmas!
Jailbreak!
Jellyfish Hunter
Jellyfish Jam
Jellyfishing
Jolly Lodgers
Just One Bite
Karate Choppers
Karate Island
Karate Star
Karen 2.0
Karen for Spot
Karen's Baby
Karen's Virus
Keep Bikini Bottom Beautiful
Kenny the Cat
King Plankton
"Knock Knock, Who's There?"
Komputer Overload
Kooky Cooks
Krab Borg
Krabby Land
Krabby Patty Creature Feature
Krabby Road
Krabs vs. Plankton
Krabs à la Mode
Kracked Krabs
Kreepaway Kamp
Krusty Dogs
Krusty Katering
Krusty Kleaners
Krusty Koncessionaires
Krusty Krab Training Video
Krusty Krushers
Krusty Love
Krusty Towers
Kwarantined Krab
Lame and Fortune
Larry the Floor Manager
Larry's Gym
Le Big Switch
Library Cards
License to Milkshake
Life Insurance
Life of Crime
Lighthouse Louie
Little Yellow Book
Lockdown for Love
Lost and Found
Lost in Bikini Bottom
Love That Squid
Ma and Pa's Big Hurrah
Mall Girl Pearl
Man Ray Returns
Mandatory Music
Married to Money
Mermaid Man & Barnacle Boy VI: The Motion Picture
Mermaid Man Begins
Mermaid Man and Barnacle Boy
Mermaid Man and Barnacle Boy II
Mermaid Man and Barnacle Boy III
Mermaid Man and Barnacle Boy IV
Mermaid Man and Barnacle Boy V
Mermaid Man vs. SpongeBob
Mermaid Pants
Mid-Life Crustacean
Mimic Madness
Mind the Gap
Missing Identity
Model Sponge
Momageddon
Money Talks
Mooncation
Mooned!
Move It or Lose It
Moving Bubble Bass
Mr. Krabs Takes a Vacation
"Mrs. Puff, You're Fired"
MuscleBob BuffPants
Mustard O' Mine
Mutiny on the Krusty
My Friend Patty
My Leg!
My Pretty Seahorse
My Two Krabses
Nasty Patty
Nature Pants
Naughty Nautical Neighbors
Nautical Novice
Necro-Nom-Nom-Nom-I-Con
Neptune's Spatula
New Digs
New Fish in Town
New Leaf
New Student Starfish
Night Light
No Free Rides
No Hat for Pat
No Nose Knows
No Pictures Please
No Weenies Allowed
Not Normal
Old Man Patrick
Once Bitten
One Coarse Meal
One Krabs Trash
One Trick Sponge
Opposite Day
Oral Report
Out of the Picture
Overbooked
PL-1413
Party Pooper Pants
Pat Hearts Squid
Pat No Pay
Pat the Dog
Pat the Horse
Patnocchio
Patrick SmartPants
Patrick the Mailman
Patrick! The Game
Patrick's Coupon
Patrick's Staycation
Patrick's Tantrum
Patrick-Man!
Patty Caper
Patty Hype
Penny Foolish
Perfect Chemistry
Pest of the West
Pet Sitter Pat
Pet or Pests
Pet the Rock
Pickles
Picture Day
Pineapple Fever
Pineapple Invasion
Pineapple RV
Pizza Delivery
Plane to Sea
Planet of the Jellyfish
Plankton Gets the Boot
Plankton Paranoia
Plankton Retires
Plankton and the Beanstalk
Plankton!
Plankton's Army
Plankton's Good Eye
Plankton's Intern
Plankton's Old Chum
Plankton's Pet
Plankton's Regular
Porous Pockets
Potato Puff
Pranks a Lot
Prehibernation Week
Pressure
Procrastination
Professor Squidward
Pull Up a Barrel
Reef Blower
Restraining SpongeBob
Ride Patrick Ride
Ripped Pants
Rise and Shine
Rock Bottom
Rock-a-Bye Bivalve
Rodeo Daze
Roller Cowards
Rule of Dumb
SB-129
Safe Deposit Krabs
Sailor Mouth
Salsa Imbecilicus
Salty Sponge
Sammy Suckerfish
Sanctuary!
Sand Castles in the Sand
Sandy's Nutmare
Sandy's Nutty Nieces
Sandy's Rocket
"Sandy, Help Us!"
"Sandy, SpongeBob, and the Worm"
Sanitation Insanity
Say Awww!
Scaredy Pants
Scavenger Pants
Sea-Man Sponge Haters Club
Selling Out
Senior Discount
Sentimental Sponge
Shanghaied
Sharks vs. Pods
Sheldon SquarePants
Shell Games
Shell Shocked
Shell of a Man
Shellback Shenanigans
Shopping List
Shuffleboarding
Sing a Song of Patrick
Single Cell Anniversary
Single-Celled Defense
Sir Urchin and Snail Fail
Skill Crane
Slappy Daze
Sleepy Time
Slide Whistle Stooges
Slimy Dancing
Smoothe Jazz at Bikini Bottom
Snail Mail
Snooze You Lose
Snow Yellow and the Seven Jellies
Snowball Effect
Sold!
Someone's in the Kitchen with Sandy
Something Narwhal This Way Comes
Something Smells
Spatula of the Heavens
Spin the Bottle
Sponge-Cano!
SpongeBob LongPants
SpongeBob Meets the Strangler
SpongeBob SquarePants vs. The Big One
SpongeBob You're Fired
SpongeBob in RandomLand
SpongeBob on Parade
SpongeBob vs. The Patty Gadget
SpongeBob's Bad Habit
SpongeBob's Big Birthday Blowout
SpongeBob's Last Stand
SpongeBob's Place
SpongeBob's Road to Christmas
SpongeChovy
SpongeGuard on Duty
SpongeHenge
Spongicus
Sportz?
Spot Returns
Spy Buddies
Squeaky Boots
Squid Baby
Squid Defense
Squid Noir
Squid Plus One
Squid Wood
Squid on Strike
Squid's Day Off
Squid's Visit
Squid's on a Bus
SquidBird
SquidBob TentaclePants
Squidferatu
Squidiot Box
Squiditis
Squidtastic Voyage
Squidville
Squidward in Clarinetland
Squidward the Unfriendly Ghost
Squidward's School for Grown-Ups
Squidward's Sick Daze
Squilliam Returns
Squirrel Jelly
Squirrel Jokes
Squirrel Record
Stanley S. SquarePants
Stormy Weather
Stuck in the Wringer
Stuck on the Roof
Suction Cup Symphony
Suds
Summer Job
Sun Bleached
Super Evil Aquatic Villain Team Up is Go!
Surf N' Turf
Survival of the Idiots
Swamp Mates
Sweet and Sour Squid
Swimming Fools
Séance Shméance
Tango Tangle
Tea at the Treedome
